region_id,elevation_p10_m,elevation_p90_m,terrain_relief,dem_pixel_count,terrain_relief_source_type,terrain_relief_missing_reason
11110,29.298431968688966,361.9308593750001,332.63242740631114,2972,static_reference,
11140,23.636598205566408,98.58096923828127,74.94437103271486,1230,static_reference,
11170,3.280648708343506,76.80792388916016,73.52727518081666,2693,static_reference,
11200,6.833641910552979,50.118325042724614,43.28468313217164,2067,static_reference,
11215,8.834575271606447,103.28940429687505,94.4548290252686,2105,static_reference,
11230,12.699303436279298,38.38937835693361,25.690074920654315,1765,static_reference,
11260,14.362408542633057,129.5458847045899,115.18347616195683,2288,static_reference,
11290,22.409592628479004,242.30577239990237,219.89617977142336,3028,static_reference,
11305,33.89810485839844,366.79797973632816,332.89987487792973,2913,static_reference,
11320,25.65645523071289,312.53999328613276,286.8835380554199,2560,static_reference,
11350,21.238460540771484,223.49883270263672,202.26037216186523,4386,static_reference,
11380,21.352144241333008,235.9027099609375,214.5505657196045,3661,static_reference,
11410,22.418582916259766,145.43133544921875,123.01275253295898,2181,static_reference,
11440,2.79943311214447,47.57456398010254,44.77513086795807,2946,static_reference,
11470,8.150831985473634,42.155427551269526,34.004595565795896,2148,static_reference,
11500,6.624691486358643,30.656326293945312,24.03163480758667,5131,static_reference,
11530,9.482829093933105,54.71215744018555,45.229328346252444,2487,static_reference,
11545,9.864219665527344,131.5979064941407,121.73368682861334,1607,static_reference,
11560,3.189515972137451,17.95138740539551,14.76187143325806,3043,static_reference,
11590,14.77873191833496,85.99158096313478,71.21284904479982,2024,static_reference,
11620,27.218473625183105,311.84104919433594,284.62257556915284,3662,static_reference,
11650,14.035014533996582,172.98094787597665,158.94593334198007,5797,static_reference,
11680,13.098672008514404,62.7872753143311,49.68860330581669,4878,static_reference,
11710,8.720442771911621,38.319759368896484,29.599316596984863,4176,static_reference,
11740,12.976751708984375,41.18003463745117,28.2032829284668,3027,static_reference,
12110,1.5635935306549074,52.47773361206054,50.914140081405634,6609,static_reference,
12130,5.990789413452148,197.9079132080078,191.91712379455566,65321,static_reference,
12150,26.766416168212896,427.6530090332031,400.8865928649902,112559,static_reference,
12170,6.087855339050293,161.15695190429702,155.06909656524672,74795,static_reference,
12190,3.6827195644378663,566.2142456054688,562.5315260410309,57692,static_reference,
12210,62.827676391601564,444.406607055664,381.5789306640624,6024,static_reference,
12240,13.554495048522949,64.67226333618173,51.11776828765878,5882,static_reference,
12270,10.396020317077637,129.83080444335945,119.43478412628181,7477,static_reference,
12300,25.14129066467285,321.8885803222656,296.7472896575928,14731,static_reference,
12330,14.77033290863037,110.35967178344724,95.58933887481687,27428,static_reference,
12710,44.67434768676758,375.4994812011719,330.8251335144043,55997,static_reference,
12720,76.84627990722656,453.6851989746094,376.83891906738285,67703,static_reference,
12730,56.43158721923828,905.5547119140625,849.1231246948242,54263,static_reference,
12740,1.2122643232345582,192.6242706298828,191.41200630664824,100559,static_reference,
12750,18.855613708496094,349.3463439941406,330.49073028564453,82231,static_reference,
12760,81.13180694580078,403.896014404297,322.76420745849623,97287,static_reference,
12770,14.387979125976566,320.01470336914065,305.62672424316406,76793,static_reference,
12780,7.6947712898254395,241.98507690429688,234.29030561447144,61836,static_reference,
12790,0.8193366527557373,166.45547485351562,165.6361382007599,129301,static_reference,
12800,0.2652702033519745,252.76876831054688,252.5034981071949,75471,static_reference,
12810,0.8118132472038271,90.40407257080074,89.5922593235969,56285,static_reference,
12820,8.469997692108153,152.041033935547,143.57103624343884,48108,static_reference,
12830,3.0188465118408203,162.6413803100586,159.62253379821777,59416,static_reference,
12840,46.405875778198244,348.19329223632815,301.7874164581299,63942,static_reference,
12850,5.174683570861816,201.1935272216797,196.01884365081787,50441,static_reference,
12860,1.6982316732406617,135.86096038818374,134.16272871494309,55914,static_reference,
12870,1.2043387651443482,80.80314636230473,79.59880759716039,83995,static_reference,
26110,1.5420286893844606,112.89034194946291,111.34831326007844,378,static_reference,
26140,10.468936061859132,325.61801452636723,315.1490784645081,1750,static_reference,
26170,2.113752031326294,238.05189361572266,235.93814158439636,1238,static_reference,
26200,3.684617018699646,194.7475860595704,191.06296904087077,1820,static_reference,
26230,17.140409469604492,314.74688720703125,297.60647773742676,3686,static_reference,
