region_id,province_name,region_name,admin_type
51770,강원특별자치도,정선군,군
51780,강원특별자치도,철원군,군
51790,강원특별자치도,화천군,군
51800,강원특별자치도,양구군,군
51810,강원특별자치도,인제군,군
51820,강원특별자치도,고성군,군
51830,강원특별자치도,양양군,군
52110,전북특별자치도,전주시,시
52130,전북특별자치도,군산시,시
52140,전북특별자치도,익산시,시
52180,전북특별자치도,정읍시,시
52190,전북특별자치도,남원시,시
52210,전북특별자치도,김제시,시
52710,전북특별자치도,완주군,군
52720,전북특별자치도,진안군,군
52730,전북특별자치도,무주군,군
52740,전북특별자치도,장수군,군
52750,전북특별자치도,임실군,군
52770,전북특별자치도,순창군,군
52790,전북특별자치도,고창군,군
52800,전북특별자치도,부안군,군
