region_id,province_name,region_name,area_code,sigungu_code,note
47900,경상북도,예천군,35,16,
47920,경상북도,봉화군,35,8,
47930,경상북도,울진군,35,18,
47940,경상북도,울릉군,35,17,
48120,경상남도,창원시,36,16,
48170,경상남도,진주시,36,13,
48220,경상남도,통영시,36,17,
48240,경상남도,사천시,36,8,
48250,경상남도,김해시,36,4,
48270,경상남도,밀양시,36,7,
48310,경상남도,거제시,36,1,
48330,경상남도,양산시,36,10,
48720,경상남도,의령군,36,12,
48730,경상남도,함안군,36,19,
48740,경상남도,창녕군,36,15,
48820,경상남도,고성군,36,3,
48840,경상남도,남해군,36,5,
48850,경상남도,하동군,36,18,
48860,경상남도,산청군,36,9,
48870,경상남도,함양군,36,20,
48880,경상남도,거창군,36,2,
48890,경상남도,합천군,36,21,
50110,제주특별자치도,제주시,39,4,
50130,제주특별자치도,서귀포시,39,3,
51110,강원특별자치도,춘천시,32,13,
51130,강원특별자치도,원주시,32,9,
51150,강원특별자치도,강릉시,32,1,
51170,강원특별자치도,동해시,32,3,
51190,강원특별자치도,태백시,32,14,
51210,강원특별자치도,속초시,32,5,
51230,강원특별자치도,삼척시,32,4,
51720,강원특별자치도,홍천군,32,16,
51730,강원특별자치도,횡성군,32,18,
51750,강원특별자치도,영월군,32,8,
51760,강원특별자치도,평창군,32,15,
51770,강원특별자치도,정선군,32,11,
51780,강원특별자치도,철원군,32,12,
51790,강원특별자치도,화천군,32,17,
51800,강원특별자치도,양구군,32,6,
51810,강원특별자치도,인제군,32,10,
51820,강원특별자치도,고성군,32,2,
51830,강원특별자치도,양양군,32,7,
52110,전북특별자치도,전주시,37,12,
52130,전북특별자치도,군산시,37,2,
52140,전북특별자치도,익산시,37,9,
52180,전북특별자치도,정읍시,37,13,
52190,전북특별자치도,남원시,37,4,
52210,전북특별자치도,김제시,37,3,
52710,전북특별자치도,완주군,37,8,
52720,전북특별자치도,진안군,37,14,
52730,전북특별자치도,무주군,37,5,
52740,전북특별자치도,장수군,37,11,
52750,전북특별자치도,임실군,37,10,
52770,전북특별자치도,순창군,37,7,
52790,전북특별자치도,고창군,37,1,
52800,전북특별자치도,부안군,37,6,
